Series Name	Series Code	Country Name	Country Code	1960 [YR1960]	1961 [YR1961]	1962 [YR1962]	1963 [YR1963]	1964 [YR1964]	1965 [YR1965]	1966 [YR1966]	1967 [YR1967]	1968 [YR1968]	1969 [YR1969]	1970 [YR1970]	1971 [YR1971]	1972 [YR1972]	1973 [YR1973]	1974 [YR1974]	1975 [YR1975]	1976 [YR1976]	1977 [YR1977]	1978 [YR1978]	1979 [YR1979]	1980 [YR1980]	1981 [YR1981]	1982 [YR1982]	1983 [YR1983]	1984 [YR1984]	1985 [YR1985]	1986 [YR1986]	1987 [YR1987]	1988 [YR1988]	1989 [YR1989]	1990 [YR1990]	1991 [YR1991]	1992 [YR1992]	1993 [YR1993]	1994 [YR1994]	1995 [YR1995]	1996 [YR1996]	1997 [YR1997]	1998 [YR1998]	1999 [YR1999]	2000 [YR2000]	2001 [YR2001]	2002 [YR2002]	2003 [YR2003]	2004 [YR2004]	2005 [YR2005]	2006 [YR2006]	2007 [YR2007]	2008 [YR2008]	2009 [YR2009]	2010 [YR2010]	2011 [YR2011]	2012 [YR2012]	2013 [YR2013]	2014 [YR2014]	2015 [YR2015]	2016 [YR2016]	2017 [YR2017]
Age dependency ratio, old (% of working-age population)	SP.POP.DPND.OL	Ireland	IRL	19.24789684	19.28266637	19.30816024	19.30657637	19.26268852	19.17420801	19.20035199	19.19351432	19.14949535	19.06654135	18.94882732	18.79533362	18.60955025	18.41880829	18.25475678	18.12945529	18.1440557	18.16295024	18.16253344	18.11055496	17.99077597	18.06372549	18.07580217	18.04436786	17.9907718	17.92315481	18.02221129	18.10075243	18.1404827	18.11728804	18.02284364	17.81298379	17.55040164	17.25989274	16.97412765	16.7130321	16.40806572	16.13032859	15.8899612	15.697964	15.56005131	15.44080499	15.36955765	15.34229751	15.34942504	15.38622404	15.52553855	15.67693064	15.86129372	16.10668449	16.42924255	17.10060238	17.84559896	18.64947042	19.48740922	20.34272383	20.9809274	21.61499827
Age dependency ratio, old (% of working-age population)	SP.POP.DPND.OL	Italy	ITA	14.51078252	14.72833406	14.93010242	15.12704794	15.33352195	15.56156277	15.86763951	16.1849376	16.52257735	16.88600127	17.27516803	17.65537794	18.01286662	18.35955311	18.71312865	19.08000945	19.51217189	19.9626077	20.35846239	20.58767973	20.59750367	20.48282832	20.15568947	19.75193546	19.45607852	19.36801782	19.6356638	20.06556262	20.59725847	21.13650776	21.6306961	22.17886665	22.69859178	23.19934936	23.69588681	24.19842448	24.72669119	25.23760175	25.75017889	26.29071226	26.87512474	27.39621546	27.95025054	28.50628449	29.0135871	29.44814498	29.86347836	30.1839598	30.47082551	30.82108711	31.29915777	31.91181004	32.63367567	33.43399501	34.2373708	34.99096402	35.66021964	36.27607479
Age dependency ratio, old (% of working-age population)	SP.POP.DPND.OL	Japan	JPN	8.766702196	8.832800871	8.885892479	8.935970681	8.995641672	9.073503731	9.227942653	9.394007068	9.572706121	9.762427818	9.962793168	10.22202673	10.48505523	10.75674225	11.04218005	11.34370621	11.71682217	12.10261891	12.48982387	12.86039176	13.20589802	13.54728718	13.86396244	14.16985191	14.48267746	14.81531709	15.19345051	15.58122409	15.9995744	16.47885282	17.03879941	17.64044951	18.31100054	19.03841954	19.80070556	20.58475244	21.41180467	22.26073917	23.12661967	24.00366386	24.8925105	25.7789962	26.67149947	27.58444113	28.53657958	29.54534683	30.51055836	31.49662459	32.54573363	33.72388729	35.07443156	36.45029893	37.97396624	39.58342345	41.16806373	42.65274334	43.90859458	45.03246723
Age dependency ratio, old (% of working-age population)	SP.POP.DPND.OL	Latvia	LVA	15.69260737	15.79459212	15.87069722	15.95400334	16.08826892	16.29753757	16.62906477	16.99974602	17.38720235	17.76172061	18.10913614	18.48411993	18.7798476	19.0119916	19.20567814	19.37593237	19.60776266	19.81441699	19.93765874	19.8878431	19.62804149	19.34904615	18.88139473	18.33249252	17.84964604	17.51800159	17.41664449	17.41520303	17.49677674	17.63468316	17.81223123	18.44576536	19.12610893	19.80882581	20.42611861	20.93550857	21.37694477	21.67890048	21.89226101	22.09172484	22.31917274	22.84753444	23.37885727	23.87944478	24.30204102	24.62288149	25.17591987	25.66214339	26.09006799	26.47711033	26.83807175	27.36929736	27.87782201	28.37807233	28.88409758	29.40232188	29.93164231	30.46641068
Age dependency ratio, old (% of working-age population)	SP.POP.DPND.OL	Luxembourg	LUX	15.91952408	16.24028671	16.53917785	16.83090975	17.12140348	17.40684022	17.84830397	18.25571017	18.6306262	18.96622174	19.25964089	19.54133037	19.74263312	19.87509073	19.94985306	19.96652973	20.19334229	20.3662809	20.45075332	20.39533863	20.17800418	20.09623949	19.86893798	19.57069202	19.29980984	19.1157031	19.05391234	19.04830123	19.10113656	19.20390981	19.34725059	19.59380479	19.86835654	20.14515446	20.382938	20.56065977	20.77227879	20.90061583	20.96992114	21.00257524	21.01120981	21.19246331	21.33844777	21.44702842	21.51301703	21.53730073	21.31084622	21.05873321	20.81141138	20.60784915	20.46871033	20.33067095	20.23016652	20.16170441	20.11595599	20.09868811	20.37646954	20.6683386
Age dependency ratio, old (% of working-age population)	SP.POP.DPND.OL	Norway	NOR	17.50944219	17.8143414	18.10244209	18.37989312	18.65351971	18.93125383	19.2649678	19.58908039	19.90623989	20.21453317	20.51242139	20.8151347	21.0904678	21.34957532	21.60594873	21.86768791	22.20265705	22.52198131	22.82280314	23.0979435	23.34475526	23.61691828	23.8379911	24.02804849	24.21410631	24.4113801	24.64743259	24.87263546	25.06888278	25.20716595	25.27233774	25.30965548	25.27062601	25.1666626	25.00949313	24.80879247	24.63007043	24.40406266	24.14239975	23.85651857	23.55838511	23.34337586	23.11209148	22.89024577	22.70961943	22.5932925	22.45004258	22.33416556	22.26907762	22.29752884	22.45411873	22.82143481	23.30209086	23.84188498	24.35737158	24.80126972	25.30074996	25.71903021
Age dependency ratio, old (% of working-age population)	SP.POP.DPND.OL	Portugal	PRT	12.73449755	12.95102106	13.13852281	13.32144907	13.53269737	13.79082803	14.1523165	14.53737574	14.93607494	15.3316865	15.71413826	15.97491619	16.21737979	16.45327374	16.69512443	16.94960618	17.25493869	17.56596102	17.86514176	18.12225108	18.32289261	18.4924453	18.59220415	18.6669417	18.7758476	18.9520686	19.25801766	19.60530797	19.98077583	20.36435448	20.74765781	21.07304242	21.38804762	21.69945403	22.01863289	22.35638531	22.67679626	23.01184929	23.36501247	23.73203046	24.10778486	24.44006567	24.76086601	25.06923088	25.36010714	25.63419441	26.10312953	26.55837094	27.0300384	27.55929976	28.17366226	28.81792649	29.51627571	30.26107571	31.0317002	31.81527757	32.48277711	33.15008736
Age dependency ratio, old (% of working-age population)	SP.POP.DPND.OL	Spain	ESP	12.71313073	12.91517113	13.09362503	13.26957946	13.47230132	13.7193616	14.04556556	14.40226585	14.77209958	15.12617585	15.44778537	15.71136897	15.92770671	16.1111925	16.28085958	16.44758077	16.72281988	16.99027111	17.23641001	17.43882884	17.58960545	17.74874878	17.85798013	17.95528911	18.09165794	18.29680198	18.58967116	18.93294321	19.31555991	19.71820085	20.1307675	20.51882556	20.90046551	21.29212451	21.7179416	22.1915722	22.62633197	23.1024708	23.58443277	24.01596769	24.36721234	24.39286559	24.34270833	24.26188003	24.20856796	24.2171426	24.33569347	24.48975266	24.68684127	24.93227176	25.23074514	25.81802818	26.45370652	27.12834341	27.81825411	28.50962835	29.01671804	29.50445939
Age dependency ratio, old (% of working-age population)	SP.POP.DPND.OL	Sweden	SWE	17.86892841	18.11965557	18.35371774	18.58559536	18.83169241	19.10374478	19.44842206	19.79805886	20.15985004	20.53697433	20.92972326	21.48188189	22.03131481	22.57212883	23.09385041	23.58992766	24.06398133	24.49076035	24.86953897	25.19494149	25.46641413	25.80474385	26.06686483	26.28482454	26.50297182	26.74774291	26.99601414	27.24743603	27.47869361	27.65020539	27.74064285	27.82414185	27.82543591	27.76086205	27.64987047	27.50724722	27.44774989	27.34970528	27.22256526	27.07551678	26.92174484	26.78262543	26.62863324	26.4998422	26.44833262	26.50777289	26.65641005	26.86064562	27.126384	27.47073156	27.91111622	28.46556444	29.12604348	29.84381271	30.51336455	31.0556917	31.59935649	31.98642804
Age dependency ratio, old (% of working-age population)	SP.POP.DPND.OL	Switzerland	CHE	15.50824653	15.6432744	15.74415052	15.8217079	15.88976548	15.95906263	16.22484561	16.49038954	16.75755372	17.02292113	17.2830003	17.69170265	18.07451847	18.43195237	18.76459964	19.07135547	19.54501432	19.9905603	20.38189847	20.68117186	20.87408714	20.87457576	20.76717383	20.61622937	20.50854411	20.49244969	20.59882069	20.7660849	20.96416958	21.14777469	21.29364385	21.4385044	21.54212644	21.61033158	21.65615631	21.68948717	21.93726121	22.17295708	22.39052079	22.58182558	22.74609847	22.8664836	22.95522333	23.03574296	23.14051105	23.29102884	23.50108982	23.75533697	24.06035387	24.42175671	24.84299669	25.18209919	25.56767717	25.98833477	26.40219971	26.77319799	27.23392481	27.64450092
Age dependency ratio, old (% of working-age population)	SP.POP.DPND.OL	United Kingdom	GBR	18.06800102	18.28125112	18.44092585	18.57478515	18.72220506	18.90845148	19.28304402	19.66843842	20.05292015	20.416892	20.75049174	21.20765638	21.61440665	21.96896353	22.26877246	22.51316964	22.85201132	23.12376791	23.31418883	23.40029119	23.37779751	23.41370719	23.33097885	23.19580823	23.09570613	23.07922612	23.27407996	23.52392469	23.7910357	24.01678884	24.16976753	24.37421668	24.50802831	24.58248581	24.61051363	24.6014625	24.627055	24.60655589	24.55602908	24.4907792	24.42206885	24.42265683	24.40251748	24.37276275	24.34188059	24.3197159	24.41427122	24.50186194	24.6270415	24.84769748	25.19444951	25.71190692	26.3328005	27.00459927	27.63938208	28.1854749	28.65873051	29.03679091
